date,text
2023-05-06 23:17:43+00:00,"Bot allows people for posting new methods of getting bitcoin by referral.  No Spam,No Fraud, No Porn https://t.co/fsypNERTL7"
2023-05-06 23:17:11+00:00,"Check out this item on OpenSea https://t.co/Gsd420LIia via @opensea 
#nfts #nft #nftart #nftcommunity #nftcollector #nftartist #digitalart #crypto #cryptoart #art #ethereum #opensea #nftcollectors #blockchain #nftdrop #nftcollectibles #cryptocurrency #bitcoin📷 📷"
2023-05-06 23:16:13+00:00,"@RadarHits Does that mean all the banks and institutions shorting gold and bitcoin, have to close out their shorts?"
2023-05-06 23:16:12+00:00,"The purpose of bitcoin now is to protect your wealth

Anyone that comes to you asking you to put even 1 sat in a layer that adds 0.01% risk is a scammer 

They want you to take 0.01% risk to lose all your wealth

Be wary of who you work with with your new found wealth"
2023-05-06 23:16:08+00:00,@tanthalosa weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT alt coin unban suspended account banned I wish I had this tweet on a shirt homework essay help website cash app venmo paypal sugar daddy baby I need a shirt of this
2023-05-06 23:15:31+00:00,"Heading to #Bitcoin Miami? Then join us as soon as the conference ends on Friday for our Sunset Social 🌇

Our rooftop venue is just steps from the convention center in South Beach. Views, vibes and a bar that accepts Bitcoin. 

Tickets are going fast so reserve yours below! 👇 https://t.co/4jHxwJOCdz"
2023-05-06 23:15:21+00:00,"📉 #Bitcoin $BTC Hash Rate just reached a 1-month low of 54,617,801,299,026,903,040

Previous 1-month low of 59,725,432,622,928,699,392 was observed on 27 April 2023

View metric:
https://t.co/idoCHWnGEn https://t.co/7ixLG882nm"
2023-05-06 23:15:08+00:00,#Bitcoin: BTCUSD ( $BTCUSD) DOWN 2.213%! Last at 28887.2949 #Crypto #MasterMetals https://t.co/9vBK6R5iZn https://t.co/5evpmtyWZE
2023-05-06 23:15:07+00:00,@mkoirala Most of the channels are owned by a few western companies.. they have penetrated very deep so they change the story depending on their interests.. this will change with Blockchain based media / internet #bitcoin #cryptocurrency
2023-05-06 23:14:49+00:00,@KangrekoReal hacked gofundme weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT coin unban suspended account banned I need a shirt of this homework essay help website cash app venmo paypal sugar daddy baby stream art commission needed donate
2023-05-06 23:14:30+00:00,"It’s not #Bitcoin I worry about.

It’s the many in society that don’t understand why it’s so important yet.

A transition to a truthful, hopeful and abundant future in underway…but can only be measured from the new system.#Bitcoin"
2023-05-06 23:14:26+00:00,"Hey guys :)

Tawarin gua Disney+ or Netflix yang murce cpttt #zonauang #zonaba #marvel weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT alt coin unban suspended account banned I wish I had this tweet on a shirt metamask"
2023-05-06 23:14:10+00:00,#Bitcoin: BTCUSD ( $BTCUSD) DOWN 2.213%! Last at 28887.2949 #Crypto #MasterMetals https://t.co/a0hpg6rxPg https://t.co/3S2B74MgJr
2023-05-06 23:13:16+00:00,"I don’t know what way bitcoin is going.

My logic says price crashes but just in case it rips I bought some"
2023-05-06 23:12:57+00:00,"""It's time to change. The same is not working anymore. #Bitcoin."" - @olvelez007"
2023-05-06 23:12:54+00:00,What's the best memecoin on Cardano? #memecoin #crypto #bitcoin #CardanoADA
2023-05-06 23:12:42+00:00,"@w_s_bitcoin @abi_ksr @dannydiekroeger I have. Why do you think I also hold and promote Litecoin and Dogecoin? 

Why do you think Alexander Hamilton, Milton Friedman, Marc Flandreau, and Barry Eichengreen have all said that Bimetallism is better than Monometallism Gold? 

Why have you yet to verify what was said in… https://t.co/01P6bQ4j1g"
2023-05-06 23:12:38+00:00,@RenzTom @VigilantFox @P_McCulloughMD @GenFlynn Um What? Is This An Episode Of The Twilight Zone? #Bitcoin Stak Sats
2023-05-06 23:11:28+00:00,"Great to see Ben play around more outside of #Bitcoin . Wait until he discovers @X7_Finance 👀 

#Xchange #ComingSoon https://t.co/7QI1PBMNSg"
2023-05-06 23:11:19+00:00,"Great to see Ben play around more outside of #Bitcoin . Wait until he discovers @X7_Finance 👀 

#Xchange #ComingSoon https://t.co/3wQeRipe84"
2023-05-06 23:10:32+00:00,@TO @amandaterry @OnChainMonkey On-chain 3d Generative Art on Bitcoin 🔥https://t.co/85U6pSdhUz
2023-05-06 23:10:23+00:00,"@realMeetKevin @GordonJohnson19 If bitcoin is worthless ask him to send me some, See if he can produce/buy one for free."
2023-05-06 23:10:04+00:00,@Stocktwits Bitcoin does not behave as a stock face to conventional technical analysis tools because of its low volume.
2023-05-06 23:09:35+00:00,@PicturesFoIder @PicturesFoIder #Yikes 😱 I hope for that person's sake their laptop 💻 is insured . That's gotta cost a bit ( unless there's enough bitcoin 🪙 stashed away that can be traded for a new one .
2023-05-06 23:09:28+00:00,"I joined the Airdrop started by BRN Metaverse! Join to win $2,000

#BRN #BRNToken #BRNMetaverse #PEPE $Pepe #Bitcoin https://t.co/hbsGnPBDLn"
2023-05-06 23:09:22+00:00,"@AltcoinDailyio Bitcoin wont make you rich 😜
Time to jump on potential low cap gems like @PepeBullBSC 
Easy x100 from here considering the hype and team behind $pbull"
2023-05-06 23:09:19+00:00,@bitcoin_brown This is such a circle jerk. Embarassing.
2023-05-06 23:08:31+00:00,"Get outdoors, eat meat and stack Sats.  Every day!  #Bitcoin https://t.co/BEKs8xsyHM"
2023-05-06 23:07:59+00:00,"@AbigailJoyFloat Because we all bought bitcoin at 69k and now it is 28k, and the bears keep selling"
2023-05-06 23:07:53+00:00,"#Proton $XPR #XPR is not just a blockchain, it's a supercharged financial system
$LOAN $STRX $BTC #BTC #Bitcoin $ETH #ETH #Crypto #cryptocurrencies #ProtonBlockchain #ProtonChain https://t.co/gY4LKpT72M"
2023-05-06 23:06:57+00:00,"✨Pooh is doing an airdrop!

🔥We are celebrating our success by giving back to the community.

Claim your $POOH : 

🔗https://t.co/pqHOEM20Ls

#PepeCoin $ARB #ETH #MONG #PEPE $BOB $DOGE $BRISE $GUAC $BART $SUI $TURBO #HEX $WOJAK #Ethereum $MONG $OP #Bitcoin $WSB #POOHCREW $PEPE https://t.co/ntpkbECE0D"
2023-05-06 23:06:02+00:00,"@Leo186428933212 @maxkeiser Fees fluctuate so you can wait and your wallet allows you to customize the fees (not sure about @strike) then you can set a low fee, it will take longer but you'll save. And obviously, lightning network is best if you plan to spend and use your bitcoin frequently, there's just… https://t.co/92s1yLCPp4"
2023-05-06 23:05:47+00:00,"Why #Bitcoin was created .

https://t.co/yFzQSwWoNn"
2023-05-06 23:05:45+00:00,Saturday night Bitcoin holders!!! 🎉 🍻 💊 https://t.co/OMyDVpXWyz
2023-05-06 23:05:21+00:00,Saturday night Bitcoin holders!!! 🎉 🍻 💊 https://t.co/WF1t5e7VrM
2023-05-06 23:04:57+00:00,"i tried and failed to write a piece on jack and bitcoin for  Foreign Policy. he does not appear to have a personality.

having done the research, i am convinced jack is a chatbot  that was sent back through time. literally a boring person's idea of an  interesting person."
2023-05-06 23:04:46+00:00,"bros this would be a great historical piece for a dao or treasury.  Lets get this upvoted on https://t.co/cSJTGRc6cG to the number one spot! #Bitcoin #Ordinals #bobo #Crypto #LFG 

https://t.co/LD6pZ4L3jW https://t.co/WKTbOdGA3E"
2023-05-06 23:04:45+00:00,On my way to a rural Bitcoin meetup to discuss circular Bitcoin economy ✌️
2023-05-06 23:04:39+00:00,"A clean H&amp;S reversal pattern that could send #Bitcoin to $25k or lower in no time. 
2D time frame. https://t.co/FllMuJZlQP"
2023-05-06 23:04:06+00:00,"The @BitApes_btc are about to flip the entire #NFT/#Ordinals market over on its head with the big news 🤫 Get ready 
#LFG #Bitcoin @BoredApeYC https://t.co/yBzbH3SZut"
2023-05-06 23:03:23+00:00,"For my #Tamil speaking peeps. #PulseBitcoin will reward you with the highest gains. We are in the all time low right now! Mine a better #Bitcoin with the #ASIC software miner. Mark my words.

#SriLanka #Nepal #Myanmar #Malaysia #Singapore #Indonesia #India #BTC #PulseChain https://t.co/3KGYV4JyxW"
2023-05-06 23:03:19+00:00,"This little guys sometime surprise you with things like this when you go bed.

What does it mean and what do they think I'm doing 😅. Tomorrow I'll ask, today I see #Bitcoin fighting a battle on top of Nerdminers

🌙 https://t.co/XeZWrJLI5Q"
2023-05-06 23:02:56+00:00,"@BornTo_BeFree Clickbait, Bitcoin nonsense. It’s really simple to “comprehend”. Nervous system. No nervous system. Your education system has failed you. Badly. https://t.co/OC9JOzfEfB"
2023-05-06 23:02:34+00:00,weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT alt coin unban suspended account banned I wish I had this tweet on a shirt homework essay help website cash app venmo paypal sugar daddy baby I need a shirt of this https://t.co/cp646ABH21
2023-05-06 23:02:13+00:00,"If you want to spam the #bitcoin network, you are gonna pay the price. https://t.co/GSO0arqshl"
2023-05-06 23:01:58+00:00,"A thousand times this. Back to first principles: Any attack on #Bitcoin only makes it stronger, in one word, it is anti-fragile, that's the genius of it. 

We should be thanking spammers for their kind donations and experiencing great schadenfreude when their shit all goes to 0 https://t.co/SofLyV8gyg"
2023-05-06 23:01:50+00:00,I was at a bank this morning and really looked at the small print for the first time. This is not the reassuring statement it once was.  #Bitcoin https://t.co/BmXHvU6slG
2023-05-06 23:01:25+00:00,"The Fiat Crisis - Balaji Srinivasan | Tokyo Pragma

Comments: https://t.co/289IfXdwp7
Link: https://t.co/N7y1Hpuq0L

#StackerNews is like Hacker News but it pays you #bitcoin"
2023-05-06 23:00:19+00:00,ICYMI: Nassim Taleb points out what he believes to be a major weakness of the cryptocurrency market https://t.co/1wgXkoQMnk #BTC #Bitcoin $BTC
2023-05-06 23:00:15+00:00,"Bitcoin Fear and Greed Index is 60 - Greed
Current price: $28,897 https://t.co/PxXlFFLOYi"
2023-05-06 23:00:12+00:00,"“The biggest problem with #Bitcoin is that it didn’t exist before 2009.”
-@saifedean"
2023-05-06 23:00:09+00:00,@B_Holmer @butlerofdogs The clown believes in Bitcoin so I’ll ignore everything he says.
2023-05-06 22:59:51+00:00,@thuleanrevenant @realdanlyman @LegendaryEnergy weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT alt coin unban suspended account banned I wish I had this tweet on a shirt homework essay help website cash app venmo paypal sugar daddy baby I need a shirt of this
2023-05-06 22:59:49+00:00,@instagram looks like my account was hacked.. i cannot get access to it now. your help section sucks. can i get an assist. someone is messaging my family about bitcoin
2023-05-06 22:59:25+00:00,"✨Pooh is doing an airdrop!

🔥We are celebrating our success by giving back to the community.

Claim your $POOH : 

🔗https://t.co/pqHOEM20Ls

#PepeCoin $ARB #ETH #MONG #PEPE $BOB $DOGE $BRISE $GUAC $BART $SUI $TURBO #HEX $WOJAK #Ethereum $MONG $OP #Bitcoin $WSB #POOHCREW $PEPE https://t.co/zSZm50IrTq"
2023-05-06 22:59:23+00:00,weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT alt coin unban suspended account banned I wish I had this tweet on a shirt homework essay help website cash app venmo paypal sugar daddy baby I need a shirt of this
2023-05-06 22:58:06+00:00,"@pinkecosystem Tron coin is going to be the new trend in the crypto space. DYOR

I'm gonna ape on this one.

You can afford to miss this 
@BTCGandalf @cctip_com @elonmusk @bitcoin_clown @SirKunt @jihanicorn @OfficialTravlad"
2023-05-06 22:57:46+00:00,weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT alt coin unban suspended account banned I wish I had this tweet on a shirt homework essay help website cash app venmo paypal sugar daddy baby I need a shirt of this
2023-05-06 22:57:23+00:00,"Noticing something here that most will miss, me included…. $Btc has been pumping for round about 3 months straight, Alts however have been bleeding against Bitcoin for about a month and a quarter, btc.d has flipped its 2 Year resistance as support. 🔨"
2023-05-06 22:57:16+00:00,"Telegram domain username Auction
Check it out on: https://t.co/L5xUT55Vt1
Start bid 2500 TON
#fragment #TONCOIN #domains #username #crypto #Tonkeeper #web3 #domainforsale #Auction #NFT #DomainNames #NFTCommunity #collectible #NFTsales #TonBlockchain #kuroutoshikou #Bitcoin #TON https://t.co/Fe8cwBBpuQ"
2023-05-06 22:56:29+00:00,NO BITCOIN!!!!
2023-05-06 22:56:14+00:00,"If you like $PEPE you'll love #PulseChain &amp; $HEX!

#Bitcoin #ETH #Crypto 
#pepe #1000xgem2023
#PulseX https://t.co/Va3NPU7m9z"
2023-05-06 22:56:10+00:00,"Broken money is the source of the bad in society. 

It causes short term thinking, cheap food, wars and even pandemics…

We #Bitcoin-er are saying this for a reason: 
⇒ Fix the money, fix the world. 
⇒ #BTC will be the new positive root of our financial system! https://t.co/T18VbnTF2d"
